journal_canonical,n_papers,mean_citations,median_citations,total_citations,first_year,last_year,pct_uncited
The Israel journal of psychiatry and related sciences,56,8.55,6.0,479,1989,2017,8.93
The American journal on addictions,55,40.51,18.0,2228,1992,2022,3.64
American journal of mental retardation : AJMR,55,42.16,26.0,2319,1989,2008,1.82
Perspectives in psychiatric care,55,13.89,6.0,764,1990,2022,1.82
Psychology research and behavior management,55,36.64,19.0,2015,1995,2022,1.82
Journal of personality assessment,54,23.13,7.5,1249,1990,2022,3.7
Journal of medical toxicology : official journal of the American College of Medical Toxicology,54,27.31,17.5,1475,1992,2022,3.7
The Medico-legal journal,54,3.24,2.5,175,2012,2022,22.22
"Behavioral sciences (Basel, Switzerland)",54,59.67,16.0,3222,2005,2022,1.85
British journal of nursing (Mark Allen Publishing),54,4.56,3.0,246,1992,2022,27.78
CNS drugs,54,57.46,42.5,3103,1994,2022,0.0
Turk psikiyatri dergisi = Turkish journal of psychiatry,53,5.51,4.0,292,2002,2022,13.21
BMC health services research,53,29.47,13.0,1562,1999,2022,1.89
The British journal of clinical psychology,53,39.06,29.0,2070,1990,2022,0.0
CMAJ : Canadian Medical Association journal = journal de l'Association medicale canadienne,53,61.13,36.0,3240,1990,2022,3.77
Veterinary and human toxicology,53,9.25,7.0,490,1989,2004,3.77
Journal of clinical forensic medicine,52,12.75,9.0,663,1994,2006,0.0
Qualitative health research,52,22.96,12.0,1194,2000,2022,0.0
European journal of psychotraumatology,52,32.9,24.0,1711,2003,2022,0.0
Australian and New Zealand journal of public health,51,16.55,9.0,844,1996,2022,0.0
BMC psychology,51,62.84,17.0,3205,2005,2022,0.0
Industrial psychiatry journal,50,8.52,4.5,426,2010,2022,8.0
Neuroscience and biobehavioral reviews,50,48.6,37.0,2430,1998,2022,0.0
LGBT health,50,36.7,23.5,1835,2013,2022,0.0
International journal of offender therapy and comparative criminology,50,14.8,8.0,740,1993,2022,6.0
Drug and alcohol review,50,27.62,15.0,1381,1991,2022,0.0
Psychopharmacology bulletin,50,24.52,18.5,1226,1989,2021,2.0
"Cellular physiology and biochemistry : international journal of experimental cellular physiology, biochemistry, and pharmacology",50,36.44,26.0,1822,2006,2020,0.0
American family physician,50,30.0,17.0,1500,1989,2022,2.0
The Journal of trauma,49,38.76,21.0,1899,1989,2011,0.0
Southern medical journal,49,13.02,7.0,638,1989,2021,0.0
The Annals of pharmacotherapy,49,30.33,22.0,1486,1992,2019,2.04
JPMA. The Journal of the Pakistan Medical Association,49,6.16,4.0,302,1989,2022,4.08
Personality disorders,49,41.86,20.0,2051,1989,2022,0.0
PLoS medicine,49,151.14,52.0,7406,2006,2022,2.04
Pharmacoepidemiology and drug safety,49,32.14,22.0,1575,1993,2021,0.0
Injury,49,16.71,11.0,819,1989,2022,6.12
Cadernos de saude publica,49,14.65,10.0,718,1997,2022,0.0
Rivista di psichiatria,49,3.61,2.0,177,2009,2022,18.37
Epilepsia,49,82.37,55.0,4036,1991,2022,0.0
"Journal of child and adolescent psychiatric nursing : official publication of the Association of Child and Adolescent Psychiatric Nurses, Inc",48,14.71,10.5,706,1989,2022,4.17
Transcultural psychiatry,48,16.1,12.5,773,2000,2022,4.17
Behavioral sciences & the law,47,86.47,12.0,4064,1992,2022,10.64
Acta neuropsychiatrica,47,14.43,7.0,678,1995,2022,8.51
Violence and victims,47,20.28,16.0,953,1991,2022,2.13
Archives of pediatrics & adolescent medicine,47,100.83,65.0,4739,1990,2012,0.0
Development and psychopathology,47,55.04,34.0,2587,1989,2022,2.13
Neuropsychopharmacologia Hungarica : a Magyar Pszichofarmakologiai Egyesulet lapja = official journal of the Hungarian Association of Psychopharmacology,47,4.64,2.0,218,2004,2022,23.4
Criminal behaviour and mental health : CBMH,47,15.13,9.0,711,1997,2022,2.13
Innovations in clinical neuroscience,46,12.91,5.0,594,2011,2022,8.7
